일자,현재지수,대비,등락률(%),배당수익률(%),주가이익비율,주가자산비율,시가지수,고가지수,저가지수,거래량(천주),거래대금(백만원),상장시가총액(백만원)
2010/01/04,"1,696.14",13.37,0.79,1.16,23.87,1.35,"1,681.71","1,696.14","1,681.71","296,548","4,364,596","894,731,591"
2010/01/05,"1,690.62",-5.52,-0.33,1.17,23.80,1.35,"1,701.62","1,702.39","1,686.45","408,854","6,830,723","891,901,043"
2010/01/06,"1,705.32",14.70,0.87,1.16,24.01,1.36,"1,697.88","1,706.89","1,696.10","426,040","6,391,017","899,645,119"
2010/01/07,"1,683.45",-21.87,-1.28,1.17,23.71,1.34,"1,702.92","1,707.90","1,683.45","462,403","7,498,405","888,111,374"
2010/01/08,"1,695.26",11.81,0.70,1.16,23.88,1.35,"1,694.06","1,695.26","1,668.84","379,952","6,965,073","894,080,130"
2010/01/11,"1,694.12",-1.14,-0.07,1.17,23.85,1.35,"1,700.79","1,705.73","1,694.12","407,680","6,952,669","893,092,753"
2010/01/12,"1,698.64",4.52,0.27,1.16,23.92,1.35,"1,695.83","1,701.16","1,683.29","383,755","5,330,059","895,743,625"
2010/01/13,"1,671.41",-27.23,-1.60,1.18,23.54,1.33,"1,683.51","1,687.58","1,671.11","361,933","5,286,074","881,413,532"
2010/01/14,"1,685.77",14.36,0.86,1.17,23.69,1.34,"1,680.68","1,692.78","1,677.46","433,753","6,219,871","889,078,614"
2010/01/15,"1,701.80",16.03,0.95,1.16,23.83,1.36,"1,694.65","1,704.43","1,686.12","415,904","6,485,923","897,220,216"
2010/01/18,"1,711.78",9.98,0.59,1.15,24.01,1.37,"1,696.14","1,716.62","1,688.89","420,752","6,335,015","902,436,364"
2010/01/19,"1,710.22",-1.56,-0.09,1.15,23.99,1.37,"1,719.41","1,723.22","1,706.73","384,379","5,700,482","901,867,203"
2010/01/20,"1,714.38",4.16,0.24,1.15,24.05,1.37,"1,723.01","1,723.01","1,708.58","695,737","7,290,025","904,201,206"
2010/01/21,"1,722.01",7.63,0.45,1.15,24.16,1.38,"1,700.53","1,722.01","1,695.18","543,454","5,803,563","908,475,207"
2010/01/22,"1,684.35",-37.66,-2.19,1.17,23.65,1.35,"1,696.21","1,706.09","1,665.60","615,073","6,695,897","888,759,752"
2010/01/25,"1,670.20",-14.15,-0.84,1.18,23.46,1.34,"1,662.77","1,681.83","1,660.58","585,001","5,838,457","881,526,818"
2010/01/26,"1,637.34",-32.86,-1.97,1.21,22.99,1.31,"1,670.47","1,671.66","1,626.98","576,949","6,114,373","864,178,395"
2010/01/27,"1,625.48",-11.86,-0.72,1.21,22.84,1.30,"1,641.88","1,643.64","1,620.55","446,538","5,760,749","857,724,538"
2010/01/28,"1,642.43",16.95,1.04,1.20,23.06,1.31,"1,632.58","1,649.46","1,619.26","479,612","5,472,747","867,754,349"
2010/01/29,"1,602.43",-40.00,-2.44,1.23,22.52,1.28,"1,621.00","1,626.57","1,595.39","473,945","5,729,025","848,135,732"
2010/02/01,"1,606.44",4.01,0.25,1.23,22.77,1.28,"1,603.87","1,611.99","1,590.80","382,241","5,109,265","849,915,099"
2010/02/02,"1,595.81",-10.63,-0.66,1.24,22.66,1.27,"1,618.60","1,618.60","1,591.24","434,956","5,008,804","844,598,368"
2010/02/03,"1,615.02",19.21,1.20,1.22,22.94,1.29,"1,614.16","1,618.86","1,602.55","438,152","4,459,113","854,639,238"
2010/02/04,"1,616.42",1.40,0.09,1.22,22.98,1.29,"1,615.48","1,619.37","1,607.87","396,780","4,093,281","855,340,684"
2010/02/05,"1,567.12",-49.30,-3.05,1.26,22.30,1.25,"1,567.59","1,575.16","1,560.99","460,774","4,940,524","829,280,668"
